location,date,starting_time,title,link
"Bio Rio, salong 1",2019-12-01,15:00:00,Live på bio: Le Corsaire,https://abfstockholm.se/evenemang/live-pa-bio-le-corsaire/
Stockholms Stadsbibliotek,2019-12-02,16:30:00,Filosofiklubben Tema: Sårbarhet,https://abfstockholm.se/evenemang/filosofiklubben-tema-sarbarhet/
"Kungstensgatan 45, 10239 Stockholm",2019-12-03,18:00:00,Att lyckas med mål och beteendeförändring,http://www.folkuniversitetet.se/Kurser--Utbildningar/Halsa-Friskvard/Friskvard/livsstil-livsfragor-friskvard/Stockholm/att-lyckas-med-mal-och-beteendeforandring/
"ABF-huset, Sveavägen 41",2019-12-04,13:30:00,"Den svenska familjen, förtalad men allt livskraftigare",https://abfstockholm.se/evenemang/den-svenska-familjen-fortalad-men-allt-livskraftigare/
"Kungstensgatan 45, 10239 Stockholm",2019-12-04,18:00:00,Franska föreläsning - Religionskrig i Frankrike,http://www.folkuniversitetet.se/Kurser--Utbildningar/Sprakkurser/Franska/Franska-specialkurser/Stockholm/franska-forelasning---religionskrig-i-frankrike/
"Bio Rio, salong 1",2019-12-08,15:30:00,Live på bio: Sagan om Karl-Bertil Jonssons julafton,https://abfstockholm.se/evenemang/live-pa-bio-sagan-om-karl-bertil-jonssons-julafton/
"Bio Rio, salong 1",2019-12-09,15:00:00,Live på bio: MET – Trollflöjten,https://abfstockholm.se/evenemang/live-pa-bio-met-trollflojten/
Fruängens Bibliotek,2019-12-09,17:00:00,Filosofikafé Tema: Fantasi,https://abfstockholm.se/evenemang/tema-fantasi/
Farsta Bibliotek,2019-12-09,18:00:00,Filosofikafé Tema: Att bida sin tid,https://abfstockholm.se/evenemang/filosofikafe-farsta-bibliotek-5/
"ABF-huset, Sveavägen 41",2019-12-10,18:00:00,Kraftkarlar och boxare i Stockholm 1900–1940,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/kraftkarlar-och-boxare-i-stockholm-1900-1940-1.437071
"Bio Rio, salong 1",2019-12-27,14:00:00,Live på bio: Nötknäpparen,https://abfstockholm.se/evenemang/live-pa-bio-notknapparen/
"Bio Rio, salong 1",2019-12-31,17:15:00,Live på bio: Berlinfilharmonikernas nyårskonsert,https://abfstockholm.se/evenemang/live-pa-bio-berlinfilharmonikernas-nyarskonsert/
"Bio Rio, salong 1",2020-01-11,19:00:00,Live på bio: MET – Wozzeck,https://abfstockholm.se/evenemang/live-pa-bio-met-wozzeck/
"Bio Rio, salong 1",2020-01-13,14:00:00,Live på bio: MET – Wozzeck,https://abfstockholm.se/evenemang/live-pa-bio-met-wozzeck/
"Bio Rio, salong 1",2020-01-14,18:00:00,Live på bio: MET – Wozzeck,https://abfstockholm.se/evenemang/live-pa-bio-met-wozzeck/
"Bio Rio, salong 1",2020-01-20,18:00:00,Live på bio: Eremitaget – en av världens största konstsamling,https://abfstockholm.se/evenemang/live-pa-bio-eremitaget-en-av-varldens-storsta-konstsamling/
"Bio Rio, salong 1",2020-01-26,16:00:00,Live på bio: Giselle,https://abfstockholm.se/evenemang/live-pa-bio-giselle/
"Bio Rio, salong 1",2020-02-01,19:00:00,Live på bio: MET – Porgy and Bess,https://abfstockholm.se/evenemang/live-pa-bio-met-porgy-and-bess/
"Bio Rio, salong 1",2020-02-03,14:00:00,Live på bio: MET – Porgy and Bess,https://abfstockholm.se/evenemang/live-pa-bio-met-porgy-and-bess/
"Bio Rio, salong 1",2020-02-04,18:00:00,Live på bio: MET – Porgy and Bess,https://abfstockholm.se/evenemang/live-pa-bio-met-porgy-and-bess/
"Bio Rio, salong 1",2020-02-17,18:00:00,Live på bio: Frida Kahlo – Viva la vida,https://abfstockholm.se/evenemang/live-pa-bio-frida-kahlo-viva-la-vida/
"Bio Rio, salong 1",2020-02-23,16:00:00,Live på bio: Svansjön,https://abfstockholm.se/evenemang/live-pa-bio-svansjon/
"Bio Rio, salong 1",2020-02-29,19:00:00,Live på bio: MET – Agrippina,https://abfstockholm.se/evenemang/live-pa-bio-met-agrippina/
"Bio Rio, salong 1",2020-03-02,14:00:00,Live på bio: MET – Agrippina,https://abfstockholm.se/evenemang/live-pa-bio-met-agrippina/
"Bio Rio, salong 1",2020-03-03,18:00:00,Live på bio: MET – Agrippina,https://abfstockholm.se/evenemang/live-pa-bio-met-agrippina/
"Bio Rio, salong 1",2020-03-14,18:00:00,Live på bio: Den flygande holländaren,https://abfstockholm.se/evenemang/live-pa-bio-den-flygande-hollandaren/
"Bio Rio, salong 1",2020-03-16,14:00:00,Live på bio: Den flygande holländaren,https://abfstockholm.se/evenemang/live-pa-bio-den-flygande-hollandaren/
"Bio Rio, salong 1",2020-03-17,18:00:00,Live på bio: Den flygande holländaren,https://abfstockholm.se/evenemang/live-pa-bio-den-flygande-hollandaren/
"Bio Rio, salong 1",2020-03-23,18:00:00,Live på bio: Mona Lisa – det olösta mysteriet,https://abfstockholm.se/evenemang/live-pa-bio-mona-lisa-det-olosta-mysteriet/
"Bio Rio, salong 1",2020-03-29,16:00:00,Live på bio: Romeo och Julia,https://abfstockholm.se/evenemang/live-pa-bio-romeo-och-julia/
"Bio Rio, salong 1",2020-04-11,19:00:00,Live på bio: MET – Tosca,https://abfstockholm.se/evenemang/live-pa-bio-met-tosca/
"Bio Rio, salong 1",2020-04-13,14:00:00,Live på bio: MET – Tosca,https://abfstockholm.se/evenemang/live-pa-bio-met-tosca/
"Bio Rio, salong 1",2020-04-14,18:00:00,Live på bio: MET – Tosca,https://abfstockholm.se/evenemang/live-pa-bio-met-tosca/
"Bio Rio, salong 1",2020-04-19,17:00:00,Live på bio: Jewels,https://abfstockholm.se/evenemang/live-pa-bio-jewels/
"Bio Rio, salong 1",2020-05-09,19:00:00,Live på bio: MET – Maria Stuarda,https://abfstockholm.se/evenemang/live-pa-bio-met-maria-stuarda/
"Bio Rio, salong 1",2020-05-11,14:00:00,Live på bio: MET – Maria Stuarda,https://abfstockholm.se/evenemang/live-pa-bio-met-maria-stuarda/
"Bio Rio, salong 1",2020-05-12,18:00:00,Live på bio: MET – Maria Stuarda,https://abfstockholm.se/evenemang/live-pa-bio-met-maria-stuarda/
